device_eui;tijdstip;beweging
7CC6C40800001337;2023012105;0
7CC6C42900010064;2022060622;3
7CC6C42900010064;2022060623;0
7CC6C42900010064;2022060700;0
7CC6C42900010064;2022060701;0
7CC6C42900010064;2022060702;0
7CC6C42900010064;2022060703;0
7CC6C42900010064;2022060704;0
7CC6C42900010064;2022060705;0
7CC6C42900010064;2022060706;0
7CC6C42900010064;2022060707;0
7CC6C42900010064;2022060708;0
7CC6C42900010064;2022060709;0
7CC6C42900010064;2022060710;0
7CC6C42900010064;2022060711;0
7CC6C42900010064;2022060712;0
7CC6C42900010064;2022060713;0
7CC6C42900010064;2022060714;3
7CC6C42900010064;2022060715;0
7CC6C42900010064;2022060716;0
7CC6C42900010064;2022060717;0
7CC6C42900010064;2022060718;0
7CC6C42900010064;2022060719;0
7CC6C42900010064;2022060720;0
7CC6C42900010064;2022060721;0
7CC6C42900010064;2022060722;0
7CC6C42900010064;2022060723;0
7CC6C42900010064;2022060800;0
7CC6C42900010064;2022060801;0
7CC6C42900010064;2022060802;0
7CC6C42900010064;2022060803;0
7CC6C42900010064;2022060804;0
7CC6C42900010064;2022060805;0
7CC6C42900010064;2022060806;0
7CC6C42900010064;2022060807;0
7CC6C42900010064;2022060808;0
7CC6C42900010064;2022060809;0
7CC6C42900010064;2022060810;0
7CC6C42900010064;2022060811;0
7CC6C42900010064;2022060812;0
7CC6C42900010064;2022060813;0
7CC6C42900010064;2022060814;0
7CC6C42900010064;2022060815;0
7CC6C42900010064;2022060816;2
7CC6C42900010064;2022060817;0
7CC6C42900010064;2022060818;0
7CC6C42900010064;2022060819;3
7CC6C42900010064;2022060820;18
7CC6C42900010064;2022060821;29
7CC6C42900010064;2022060822;19
7CC6C42900010064;2022060823;1
7CC6C42900010064;2022060900;4
7CC6C42900010064;2022060901;0
7CC6C42900010064;2022060902;2
7CC6C42900010064;2022060903;7
7CC6C42900010064;2022060904;7
7CC6C42900010064;2022060905;1
7CC6C42900010064;2022060906;2
7CC6C42900010064;2022060907;3
7CC6C42900010064;2022060908;2
7CC6C42900010064;2022060909;15
7CC6C42900010064;2022060910;3
7CC6C42900010064;2022060911;9
7CC6C42900010064;2022060912;8
7CC6C42900010064;2022060913;30
7CC6C42900010064;2022060914;25
7CC6C42900010064;2022060915;3
7CC6C42900010064;2022060916;0
7CC6C42900010064;2022060917;2
7CC6C42900010064;2022060918;0
7CC6C42900010064;2022060919;7
7CC6C42900010064;2022060920;8
7CC6C42900010064;2022060921;4
7CC6C42900010064;2022060922;9
7CC6C42900010064;2022060923;1
7CC6C42900010064;2022061000;2
7CC6C42900010064;2022061001;2
7CC6C42900010064;2022061002;3
7CC6C42900010064;2022061003;9
7CC6C42900010064;2022061004;2
7CC6C42900010064;2022061005;3
7CC6C42900010064;2022061006;2
7CC6C42900010064;2022061007;5
7CC6C42900010064;2022061008;13
7CC6C42900010064;2022061009;14
7CC6C42900010064;2022061010;0
7CC6C42900010064;2022061011;0
7CC6C42900010064;2022061012;19
7CC6C42900010064;2022061013;0
7CC6C42900010064;2022061014;0
7CC6C42900010064;2022061015;4
7CC6C42900010064;2022061016;1
7CC6C42900010064;2022061017;16
7CC6C42900010064;2022061018;20
7CC6C42900010064;2022061019;13
7CC6C42900010064;2022061020;3
7CC6C42900010064;2022061021;4
7CC6C42900010064;2022061022;14
7CC6C42900010064;2022061023;28
7CC6C42900010064;2022061100;3
7CC6C42900010064;2022061101;2
7CC6C42900010064;2022061102;0
7CC6C42900010064;2022061103;12
7CC6C42900010064;2022061104;2
7CC6C42900010064;2022061105;3
7CC6C42900010064;2022061106;1
7CC6C42900010064;2022061107;8
7CC6C42900010064;2022061108;8
7CC6C42900010064;2022061109;5
7CC6C42900010064;2022061110;9
7CC6C42900010064;2022061111;11
7CC6C42900010064;2022061112;21
7CC6C42900010064;2022061113;10
7CC6C42900010064;2022061114;0
7CC6C42900010064;2022061115;3
7CC6C42900010064;2022061116;11
7CC6C42900010064;2022061117;17
7CC6C42900010064;2022061118;49
7CC6C42900010064;2022061119;14
7CC6C42900010064;2022061120;1
7CC6C42900010064;2022061121;8
7CC6C42900010064;2022061122;10
7CC6C42900010064;2022061123;1
7CC6C42900010064;2022061200;3
7CC6C42900010064;2022061201;5
7CC6C42900010064;2022061202;9
7CC6C42900010064;2022061203;4
7CC6C42900010064;2022061204;8
7CC6C42900010064;2022061205;4
7CC6C42900010064;2022061206;4
7CC6C42900010064;2022061207;1
7CC6C42900010064;2022061208;9
7CC6C42900010064;2022061209;8
7CC6C42900010064;2022061210;10
7CC6C42900010064;2022061211;16
7CC6C42900010064;2022061212;3
7CC6C42900010064;2022061213;14
7CC6C42900010064;2022061214;46
7CC6C42900010064;2022061215;32
7CC6C42900010064;2022061216;0
7CC6C42900010064;2022061217;0
7CC6C42900010064;2022061218;0
7CC6C42900010064;2022061219;0
7CC6C42900010064;2022061220;0
7CC6C42900010064;2022061221;8
7CC6C42900010064;2022061222;43
7CC6C42900010064;2022061223;17
7CC6C42900010064;2022061300;1
7CC6C42900010064;2022061301;28
7CC6C42900010064;2022061302;30
7CC6C42900010064;2022061303;12
7CC6C42900010064;2022061304;2
7CC6C42900010064;2022061305;3
7CC6C42900010064;2022061306;4
7CC6C42900010064;2022061307;8
7CC6C42900010064;2022061308;6
7CC6C42900010064;2022061309;0
7CC6C42900010064;2022061310;4
7CC6C42900010064;2022061311;15
7CC6C42900010064;2022061312;26
7CC6C42900010064;2022061313;16
7CC6C42900010064;2022061314;11
7CC6C42900010064;2022061315;0
7CC6C42900010064;2022061316;0
7CC6C42900010064;2022061317;0
7CC6C42900010064;2022061318;0
7CC6C42900010064;2022061319;0
7CC6C42900010064;2022061320;1
7CC6C42900010064;2022061321;2
7CC6C42900010064;2022061322;2
7CC6C42900010064;2022061323;8
7CC6C42900010064;2022061400;1
7CC6C42900010064;2022061401;3
7CC6C42900010064;2022061402;3
7CC6C42900010064;2022061403;1
7CC6C42900010064;2022061404;3
7CC6C42900010064;2022061405;6
7CC6C42900010064;2022061406;1
7CC6C42900010064;2022061407;2
7CC6C42900010064;2022061408;5
7CC6C42900010064;2022061409;8
7CC6C42900010064;2022061410;2
7CC6C42900010064;2022061411;0
7CC6C42900010064;2022061412;16
7CC6C42900010064;2022061413;13
7CC6C42900010064;2022061414;16
7CC6C42900010064;2022061415;32
7CC6C42900010064;2022061416;11
7CC6C42900010064;2022061417;0
7CC6C42900010064;2022061418;0
7CC6C42900010064;2022061419;0
7CC6C42900010064;2022061420;0
7CC6C42900010064;2022061421;0
7CC6C42900010064;2022061422;0
7CC6C42900010064;2022061423;0
7CC6C42900010064;2022061500;0
7CC6C42900010064;2022061501;0
7CC6C42900010064;2022061502;10
7CC6C42900010064;2022061503;23
7CC6C42900010064;2022061504;2
7CC6C42900010064;2022061505;7
7CC6C42900010064;2022061506;2
7CC6C42900010064;2022061507;4
7CC6C42900010064;2022061508;20
7CC6C42900010064;2022061509;34
7CC6C42900010064;2022061510;4
7CC6C42900010064;2022061511;0
7CC6C42900010064;2022061512;12
7CC6C42900010064;2022061513;6
7CC6C42900010064;2022061514;3
7CC6C42900010064;2022061515;2
7CC6C42900010064;2022061516;8
7CC6C42900010064;2022061517;1
7CC6C42900010064;2022061518;4
7CC6C42900010064;2022061519;15
7CC6C42900010064;2022061520;0
7CC6C42900010064;2022061521;3
7CC6C42900010064;2022061522;10
7CC6C42900010064;2022061523;2
7CC6C42900010064;2022061600;3
7CC6C42900010064;2022061601;3
7CC6C42900010064;2022061602;2
7CC6C42900010064;2022061603;3
7CC6C42900010064;2022061604;4
7CC6C42900010064;2022061605;10
7CC6C42900010064;2022061606;11
7CC6C42900010064;2022061607;10
7CC6C42900010064;2022061608;19
7CC6C42900010064;2022061609;7
7CC6C42900010064;2022061610;0
7CC6C42900010064;2022061611;0
7CC6C42900010064;2022061612;0
7CC6C42900010064;2022061613;0
7CC6C42900010064;2022061614;11
7CC6C42900010064;2022061615;13
7CC6C42900010064;2022061616;0
7CC6C42900010064;2022061617;0
7CC6C42900010064;2022061618;19
7CC6C42900010064;2022061619;5
7CC6C42900010064;2022061620;0
7CC6C42900010064;2022061621;0
7CC6C42900010064;2022061622;9
7CC6C42900010064;2022061623;6
7CC6C42900010064;2022061700;5
7CC6C42900010064;2022061701;3
7CC6C42900010064;2022061702;5
7CC6C42900010064;2022061703;5
7CC6C42900010064;2022061704;5
7CC6C42900010064;2022061705;18
7CC6C42900010064;2022061706;21
7CC6C42900010064;2022061707;21
7CC6C42900010064;2022061708;20
7CC6C42900010064;2022061709;3
7CC6C42900010064;2022061710;0
7CC6C42900010064;2022061711;0
7CC6C42900010064;2022061712;0
7CC6C42900010064;2022061713;4
7CC6C42900010064;2022061714;4
7CC6C42900010064;2022061715;0
7CC6C42900010064;2022061716;0
7CC6C42900010064;2022061717;13
7CC6C42900010064;2022061718;19
7CC6C42900010064;2022061719;15
7CC6C42900010064;2022061720;0
7CC6C42900010064;2022061721;16
7CC6C42900010064;2022061722;1
7CC6C42900010064;2022061723;2
7CC6C42900010064;2022061800;1
7CC6C42900010064;2022061801;4
7CC6C42900010064;2022061802;3
7CC6C42900010064;2022061803;3
7CC6C42900010064;2022061804;4
7CC6C42900010064;2022061805;13
7CC6C42900010064;2022061806;20
7CC6C42900010064;2022061807;24
7CC6C42900010064;2022061808;4
7CC6C42900010064;2022061809;0
7CC6C42900010064;2022061810;0
7CC6C42900010064;2022061811;0
7CC6C42900010064;2022061812;0
7CC6C42900010064;2022061813;3
7CC6C42900010064;2022061814;27
7CC6C42900010064;2022061815;0
7CC6C42900010064;2022061816;2
7CC6C42900010064;2022061817;0
7CC6C42900010064;2022061818;0
7CC6C42900010064;2022061819;6
7CC6C42900010064;2022061820;15
7CC6C42900010064;2022061821;12
7CC6C42900010064;2022061822;10
7CC6C42900010064;2022061823;11
7CC6C42900010064;2022061900;8
7CC6C42900010064;2022061901;9
7CC6C42900010064;2022061902;4
7CC6C42900010064;2022061903;3
7CC6C42900010064;2022061904;3
7CC6C42900010064;2022061905;8
7CC6C42900010064;2022061906;17
7CC6C42900010064;2022061907;20
7CC6C42900010064;2022061908;22
7CC6C42900010064;2022061909;14
7CC6C42900010064;2022061910;0
7CC6C42900010064;2022061911;0
7CC6C42900010064;2022061912;0
7CC6C42900010064;2022061913;9
7CC6C42900010064;2022061914;0
7CC6C42900010064;2022061915;7
7CC6C42900010064;2022061916;0
7CC6C42900010064;2022061917;8
7CC6C42900010064;2022061918;6
7CC6C42900010064;2022061919;12
7CC6C42900010064;2022061920;7
7CC6C42900010064;2022061921;0
7CC6C42900010064;2022061922;10
7CC6C42900010064;2022061923;2
7CC6C42900010064;2022062000;1
7CC6C42900010064;2022062001;1
7CC6C42900010064;2022062002;1
7CC6C42900010064;2022062003;2
7CC6C42900010064;2022062004;3
7CC6C42900010064;2022062005;2
7CC6C42900010064;2022062006;2
7CC6C42900010064;2022062007;7
7CC6C42900010064;2022062008;11
7CC6C42900010064;2022062009;0
7CC6C42900010064;2022062010;0
7CC6C42900010064;2022062011;0
7CC6C42900010064;2022062012;18
7CC6C42900010064;2022062013;0
7CC6C42900010064;2022062014;0
7CC6C42900010064;2022062015;0
7CC6C42900010064;2022062016;0
7CC6C42900010064;2022062017;0
7CC6C42900010064;2022062018;0
7CC6C42900010064;2022062019;6
7CC6C42900010064;2022062020;2
7CC6C42900010064;2022062021;0
7CC6C42900010064;2022062022;8
7CC6C42900010064;2022062023;3
7CC6C42900010064;2022062100;2
7CC6C42900010064;2022062101;1
7CC6C42900010064;2022062102;2
7CC6C42900010064;2022062103;2
7CC6C42900010064;2022062104;2
7CC6C42900010064;2022062105;2
7CC6C42900010064;2022062106;2
7CC6C42900010064;2022062107;10
7CC6C42900010064;2022062108;6
7CC6C42900010064;2022062109;9
7CC6C42900010064;2022062110;0
7CC6C42900010064;2022062111;0
7CC6C42900010064;2022062112;2
7CC6C42900010064;2022062113;11
7CC6C42900010064;2022062114;0
7CC6C42900010064;2022062115;0
7CC6C42900010064;2022062116;0
7CC6C42900010064;2022062117;0
7CC6C42900010064;2022062118;0
7CC6C42900010064;2022062119;24
7CC6C42900010064;2022062120;3
7CC6C42900010064;2022062121;2
7CC6C42900010064;2022062122;0
7CC6C42900010064;2022062123;9
7CC6C42900010064;2022062200;4
7CC6C42900010064;2022062201;1
7CC6C42900010064;2022062202;1
7CC6C42900010064;2022062203;1
7CC6C42900010064;2022062204;2
7CC6C42900010064;2022062205;3
7CC6C42900010064;2022062206;6
7CC6C42900010064;2022062207;17
7CC6C42900010064;2022062208;21
7CC6C42900010064;2022062209;7
7CC6C42900010064;2022062210;0
7CC6C42900010064;2022062211;0
7CC6C42900010064;2022062212;12
7CC6C42900010064;2022062213;8
7CC6C42900010064;2022062214;5
7CC6C42900010064;2022062215;0
7CC6C42900010064;2022062216;0
7CC6C42900010064;2022062217;0
7CC6C42900010064;2022062218;0
7CC6C42900010064;2022062219;0
7CC6C42900010064;2022062220;0
7CC6C42900010064;2022062221;0
7CC6C42900010064;2022062222;0
7CC6C42900010064;2022062223;0
7CC6C42900010064;2022062300;0
7CC6C42900010064;2022062301;0
7CC6C42900010064;2022062302;0
7CC6C42900010064;2022062303;0
7CC6C42900010064;2022062304;0
7CC6C42900010064;2022062305;0
7CC6C42900010064;2022062306;0
7CC6C42900010064;2022062307;0
7CC6C42900010064;2022062308;0
7CC6C42900010064;2022062309;0
7CC6C42900010064;2022062310;0
7CC6C42900010064;2022062311;0
7CC6C42900010064;2022062312;7
7CC6C42900010064;2022062313;0
7CC6C42900010064;2022062314;0
7CC6C42900010064;2022062315;0
7CC6C42900010064;2022062316;0
7CC6C42900010064;2022062317;0
7CC6C42900010064;2022062318;0
7CC6C42900010064;2022062319;0
7CC6C42900010064;2022062320;0
7CC6C42900010064;2022062321;0
7CC6C42900010064;2022062322;0
7CC6C42900010064;2022062323;0
7CC6C42900010064;2022062400;0
7CC6C42900010064;2022062401;0
7CC6C42900010064;2022062402;0
7CC6C42900010064;2022062403;0
7CC6C42900010064;2022062404;0
7CC6C42900010064;2022062405;0
7CC6C42900010064;2022062406;0
7CC6C42900010064;2022062407;0
7CC6C42900010064;2022062408;0
7CC6C42900010064;2022062409;0
7CC6C42900010064;2022062410;0
7CC6C42900010064;2022062411;8
7CC6C42900010064;2022062412;9
7CC6C42900010064;2022062413;26
7CC6C42900010064;2022062414;0
7CC6C42900010064;2022062415;0
7CC6C42900010064;2022062416;0
7CC6C42900010064;2022062417;2
7CC6C42900010064;2022062418;0
7CC6C42900010064;2022062419;0
7CC6C42900010064;2022062420;0
7CC6C42900010064;2022062421;0
7CC6C42900010064;2022062422;0
7CC6C42900010064;2022062423;0
7CC6C42900010064;2022062500;0
7CC6C42900010064;2022062501;0
7CC6C42900010064;2022062502;0
7CC6C42900010064;2022062503;0
7CC6C42900010064;2022062504;0
7CC6C42900010064;2022062505;0
7CC6C42900010064;2022062506;0
7CC6C42900010064;2022062507;0
7CC6C42900010064;2022062508;0
7CC6C42900010064;2022062509;0
7CC6C42900010064;2022062510;0
7CC6C42900010064;2022062511;0
7CC6C42900010064;2022062512;0
7CC6C42900010064;2022062513;0
7CC6C42900010064;2022062514;0
7CC6C42900010064;2022062515;0
7CC6C42900010064;2022062516;0
7CC6C42900010064;2022062517;0
7CC6C42900010064;2022062518;0
7CC6C42900010064;2022062519;0
7CC6C42900010064;2022062520;0
7CC6C42900010064;2022062521;0
7CC6C42900010064;2022062522;0
7CC6C42900010064;2022062523;0
7CC6C42900010064;2022062600;0
7CC6C42900010064;2022062601;0
7CC6C42900010064;2022062602;0
7CC6C42900010064;2022062603;0
7CC6C42900010064;2022062604;0
7CC6C42900010064;2022062605;0
7CC6C42900010064;2022062606;0
7CC6C42900010064;2022062607;0
7CC6C42900010064;2022062608;0
7CC6C42900010064;2022062609;0
7CC6C42900010064;2022062610;0
7CC6C42900010064;2022062611;0
7CC6C42900010064;2022062612;0
7CC6C42900010064;2022062613;0
7CC6C42900010064;2022062614;1
7CC6C42900010064;2022062615;12
7CC6C42900010064;2022062616;4
7CC6C42900010064;2022062617;0
7CC6C42900010064;2022062618;18
7CC6C42900010064;2022062619;44
7CC6C42900010064;2022062620;11
7CC6C42900010064;2022062621;11
7CC6C42900010064;2022062622;6
7CC6C42900010064;2022062623;7
7CC6C42900010064;2022062700;3
7CC6C42900010064;2022062701;4
7CC6C42900010064;2022062702;1
7CC6C42900010064;2022062703;2
7CC6C42900010064;2022062704;2
7CC6C42900010064;2022062705;12
7CC6C42900010064;2022062706;15
7CC6C42900010064;2022062707;22
7CC6C42900010064;2022062708;7
7CC6C42900010064;2022062709;4
7CC6C42900010064;2022062710;9
7CC6C42900010064;2022062711;9
7CC6C42900010064;2022062712;4
7CC6C42900010064;2022062713;24
7CC6C42900010064;2022062714;0
7CC6C42900010064;2022062715;0
7CC6C42900010064;2022062716;5
7CC6C42900010064;2022062717;7
7CC6C42900010064;2022062718;0
7CC6C42900010064;2022062719;3
7CC6C42900010064;2022062720;7
7CC6C42900010064;2022062721;0
7CC6C42900010064;2022062722;13
7CC6C42900010064;2022062723;2
7CC6C42900010064;2022062800;4
7CC6C42900010064;2022062801;2
7CC6C42900010064;2022062802;4
7CC6C42900010064;2022062803;3
7CC6C42900010064;2022062804;5
7CC6C42900010064;2022062805;7
7CC6C42900010064;2022062806;3
7CC6C42900010064;2022062807;4
7CC6C42900010064;2022062808;7
