device_eui;tijdstip;verbruik
7CC6C40800001254;2022021414;25
7CC6C40800001254;2022021415;6
7CC6C40800001254;2022021416;6
7CC6C40800001254;2022021417;6
7CC6C40800001254;2022021418;326
7CC6C40800001254;2022021419;6
7CC6C40800001254;2022021420;6
7CC6C40800001254;2022021421;246
7CC6C40800001254;2022021422;294
7CC6C40800001254;2022021423;301
7CC6C40800001254;2022021500;310
7CC6C40800001254;2022021501;270
7CC6C40800001254;2022021502;250
7CC6C40800001254;2022021503;237
7CC6C40800001254;2022021504;217
7CC6C40800001254;2022021505;197
7CC6C40800001254;2022021506;197
7CC6C40800001254;2022021507;170
7CC6C40800001254;2022021508;9
7CC6C40800001254;2022021509;6
7CC6C40800001254;2022021510;5
7CC6C40800001254;2022021511;6
7CC6C40800001254;2022021512;6
7CC6C40800001254;2022021513;6
7CC6C40800001254;2022021514;6
7CC6C40800001254;2022021515;6
7CC6C40800001254;2022021516;561
7CC6C40800001254;2022021517;519
7CC6C40800001254;2022021518;181
7CC6C40800001254;2022021519;6
7CC6C40800001254;2022021520;5
7CC6C40800001254;2022021521;350
7CC6C40800001254;2022021522;385
7CC6C40800001254;2022021523;283
7CC6C40800001254;2022021600;252
7CC6C40800001254;2022021601;222
7CC6C40800001254;2022021602;199
7CC6C40800001254;2022021603;199
7CC6C40800001254;2022021604;200
7CC6C40800001254;2022021605;199
7CC6C40800001254;2022021606;199
7CC6C40800001254;2022021607;197
7CC6C40800001254;2022021608;220
7CC6C40800001254;2022021609;130
7CC6C40800001254;2022021610;6
7CC6C40800001254;2022021611;5
7CC6C40800001254;2022021612;6
7CC6C40800001254;2022021613;6
7CC6C40800001254;2022021614;6
7CC6C40800001254;2022021615;6
7CC6C40800001254;2022021616;6
7CC6C40800001254;2022021617;5
7CC6C40800001254;2022021618;389
7CC6C40800001254;2022021619;273
7CC6C40800001254;2022021620;5
7CC6C40800001254;2022021621;6
7CC6C40800001254;2022021622;6
7CC6C40800001254;2022021623;452
7CC6C40800001254;2022021700;361
7CC6C40800001254;2022021701;313
7CC6C40800001254;2022021702;309
7CC6C40800001254;2022021703;272
